2013-14	2014-15	2015-16	2016-17	2017-18	2018-19	2019-20	2020-21	2021-22	2022-23
800	760	1520	800	600	1100	800	600	600	300
240	800	1020	400	1200	1200	800	1160	600	600
400	1200	800	660	800	550	800	600	1200	600
400	760	400	800	360	550	460	580	420	600
640	380	800	400	1200	1400	1200	1160	630	800
240	220	800	600	360	580	580	580	300	400
380	640	800	800	600	600	800	380	600	1000
400	760	600	800	800	580	1160	600	1200	800
800	760	1200	1200	800	1400	1160	500	600	800
380	720	800	1600	600	350	560	1160	1200	600
380	360	400	1200	600	580	380	580	400	380
370	1520	800	600	600	800	580	600	600	450
760	380	400	400	400	580	300	580	1200	400
800	380	800	600	560	600	500	1160	600	1200
800	760	800	1600	600	600	1200	600	1100	600
400	630	400	400	1200	580	400	600	1200	400
800	1060	400	360	800	500	800	600	600	560
560	360	400	800	600	800	580	1200	1200	600
192	760	800	800	800	1200	400	580	600	400
380	340	400	600	1200	600	580	580	600	500
240	760	760	1000	1200	1160	600	580	600	300
400	380	800	1200	540	1200	580	580	600	400
400	1520	400	800	800	600	760	1160	600	600
800	760	400	600	600	1200	600	800	600	520
800	400	400	800	800	400	560	1160	600	400
360	380	800	600	800	600	380	600	400	600
720	380	1600	400	600	800	600	600	400	600
360	380	1200	1800	400	400	1200	600	638	800
400	1200	800	800	1800	600	580	800	608	600
280	380	800	600	800	600	2000	600	600	800
800	760	1200	600	480	600	580	600	600	400
760	760	400	600	800	600	580	400	1200	580
380	380	800	1200	400	400	580	580	1200	1320
240	760	800	600	540	1200	600	580	1200	600
400	360	400	800	700	800	1160	580	420	600
320	380	1600	600	1200	800	400	560	600	550
160	760	400	400	660	600	580	620	1000	550
400	380	800	800	1200	1200	580	400	1000	800
760	300	800	400	1200	800	580	600	580	600
760	360	400	720	660	580	800	620	600	600
400	360	400	400	600	800	580	600	600	500
380	760	380	2000	360	700	200	1200	800	570
800	760	800	800	560	580	1160	800	600	250
380	380	1200	800	1200	1200	500	580	600	600
760	340	800	400	1200	600	1200	580	1200	400
240	380	400	400	800	600	800	580	600	400
380	640	800	440	400	800	1200	600	800	600
120	400	400	800	600	1000	1200	600	400	500
320	340	400	880	1200	500	500	800	1200	440
280	1200	800	800	600	600	500	600	1200	600
760	1140	400	400	600	380	760	580	1000	600
160	248	800	600	720	600	400	600	1200	1200
380	760	800	1600	720	1200	800	600	1200	600
380	1140	400	800	600	1200	200	1200	1200	550
380	360	800	1200	400	1000	500	600	1272	550
360	1200	400	800	800	980	600	600	960	300
800	440	800	500	1200	580	600	400	400	500
400	400	400	800	600	580	580	600	600	800
760	1440	800	400	600	380	600	500	200	600
760	760	400	600	600	600	600	380	1200	600
800	1140	800	800	720	800	580	580	900	400
760	380	400	800	800	580	600	1200	600	600
380	400	1140	400	600	200	1160	1200	600	600
280	760	400	1200	1200	600	380	1200	600	1200
380	640	140	400	600	580	580	600	1200	700
380	720	750	600	800		380	580	1040	600
480	400	800	400	360		200	940	400	440
380	800	400	600	1200		400	600	600	1232
380	360	400	600	600		600	1200	600	660
320	380	400	800	600		600	600	600	660
380	760	400	1200	600		760	1200	600	400
180	300	400	400	600		400	580	600	400
240	1140	800	600	1200		1160	600	424	1140
360	380	400	800	600		400	600	318	580
760	380	1200	400	990		800	580	600	
320	760	688	1200	600		800	600	1200	
800	720	400	600	540		760	1180	400	
560	360	1600	880	550		760	580	1200	
360	380	1200	1200	560		1000	720	600	
800	1200	1200	400	720		580	800	600	
	1460	1200	400	600		560	600	600	
	760	800	400	1200		400	1180	600	
	1400	550		600		800	600	560	
	720	400		1200		1160	580	600	
	400	800		1200		580	1160	600	
	800	400		240		580	1160	600	
	800	400		360		550	420	400	
	380	400		400		380	580	1200	
	760	800		800		580	1160	600	
	300	800		720		580	1200	800	
		400		600		600	900	850	
		800		400		760	580	600	
		1170		600		600	580	400	
		400		800		580	1200	600	
		1170		1200			1200		
				1200			800		
				400			1200		
				1200			550		
				600			1200		
				400			600		
				600			1200		
				600			1000		
