Date	PondID	DOC	ph	Salinity	Transparency	Alkalinity	Status
10/1/2024	P02	1.67	9.5	37.4	6.86	160	Unbreedable
10/1/2024	P17	2.25	8.7	30.8	6.63	180	Unbreedable
10/1/2024	P08	1.72	9.6	36.4	6.48	66	Unbreedable
10/2/2024	P10	2.68	9.1	3.2	7	158	Unbreedable
10/2/2024	P14	3.34	9.4	38	7.07	164	Unbreedable
10/2/2024	P17	2.63	8.8	39.1	6.48	164	Unbreedable
10/3/2024	P20	2.36	6.6	35	27	41	Unbreedable
10/3/2024	P07	3.67	7.2	0.7	8	83	Unbreedable
10/3/2024	P06	0.75	9.2	36.4	0	163	Unbreedable
10/4/2024	P02	3.73	6.3	35.2	6.86	186	Unbreedable
10/4/2024	P06	1.05	9.3	2.6	6.48	82	Unbreedable
10/4/2024	P06	2.16	9	3	6.63	82	Unbreedable
10/5/2024	P08	1.01	6.1	37.7	6.93	62	Unbreedable
10/5/2024	P11	3.26	6.2	32	18.52	84	Unbreedable
10/5/2024	P10	2.3	9.4	3.7	6.71	189	Unbreedable
10/6/2024	P15	3.27	8.7	38.3	27	169	Unbreedable
10/6/2024	P12	0.74	9.3	1.2	7.07	69	Unbreedable
10/6/2024	P15	0.86	6.4	30.4	27	35	Unbreedable
10/7/2024	P20	3.06	6.6	2.4	11.18	153	Unbreedable
10/7/2024	P11	2.96	8.9	0.3	2.83	183	Unbreedable
10/7/2024	P02	2.69	7.2	1.8	7	196	Unbreedable
10/8/2024	P07	3.47	6.8	33.6	6.4	57	Unbreedable
10/8/2024	P11	1.57	7	32.9	27	81	Unbreedable
10/8/2024	P13	2.88	9.4	0.4	22.63	179	Unbreedable
10/9/2024	P12	3.5	7	30.6	7	67	Unbreedable
10/9/2024	P17	3.21	8.9	35.3	6.93	197	Unbreedable
10/9/2024	P06	1.8	6.2	38.4	5.2	167	Unbreedable
10/10/2024	P04	1.77	8.5	0	8	155	Unbreedable
10/10/2024	P18	1.66	7.4	38.3	27	184	Unbreedable
10/10/2024	P10	2.38	9.1	33.9	14.7	74	Unbreedable
10/11/2024	P12	3.13	9	39.1	7	196	Unbreedable
10/11/2024	P12	1.3	9.4	36.3	6.86	165	Unbreedable
10/11/2024	P14	0.4	8.8	1.2	6.86	55	Unbreedable
10/12/2024	P20	3.35	7.2	2.3	6.63	196	Unbreedable
